,Name,Location,Description
0,Tim Hortons,Jamaica Station AirTrain Station,Grab & Go
1,Arrivals Eatery,Pre-Security,$2 Water
2,Downtown Market,Post Security,$2 Water
3,Dunkin' Donuts,Pre-Security,$2 Water
4,Dunkin' Donuts,Food Court,Grab & Go
5,Eat & Go Istanbul,Between Gates 5-7,Grab & Go
6,Euro Cafe,Arrivals Level,Grab & Go
7,Hudson,Behind Check-in Counters C/D,Grab & Go
8,Hudson,Behind Check-in Counters G/H,Grab & Go
9,Hudson,Gate 4,Grab & Go
10,Hudson,Post Security East Departures,$2 Water
11,Hudson,Post Security West Departures,$2 Water
12,Hudson,Pre-Security East Departures,$2 Water
13,Hudson,Pre-Security West Departures,$2 Water
14,Hudson,Gate 3,Grab & Go
15,Hudson,Arrivals Level -West,Grab & Go
16,JikJi Cafe,Food Court,Grab & Go
17,JikJi Café,Pre-Security,$2 Water
18,Dunkin' Donuts,Pre-Security,$2 Water
19,Martini Bar,Departures Level -S Concourse Gate 9,Restaurants
20,McDonald's,Food Court,Grab & Go
21,Panini Express,Arrivals Level East,Grab & Go
22,Panini Express,Departures Level,Grab & Go
23,Panini Express,Departures Level,Grab & Go
24,Pizza Pub,Departures Level,Grab & Go
25,Pizza Pub,Post Security,$2 Water
26,Soho Bites,Departures Level,Restaurants
27,Soho Bites,Post Security,$2 Water
28,Soy & Sake,Departures Level,Restaurants
29,Soy & Sake,Post Security,$2 Water
30,Starbucks,Food Court,Grab & Go
31,Taste NY,Post Security,Restaurants
32,The LOCAL,Departures Level- Gate 4,Restaurants
33,The LOCAL,Post Security,$2 Water
34,Tuscany Café,Departures Level,Grab & Go
35,Tuscany Café,Behind Check-in Counters E/F,Grab & Go
36,Uptown Market,Departues Level,Grab & Go
37,Uptown Market,Post Security,$2 Water
38,Wok & Roll,Food Court,Grab & Go
39,Wok & Roll,Pre-Security,$2 Water
40,Bento Sushi,Gate B26,Restaurants
41,Blue Point Brewery,Near Gate 33,Restaurants
42,Blue Smoke on the Road,Gate B37,Restaurants
43,Buffalo Wild Wings,Gate B26,Restaurants
44,Camden Foods,3,$2 Water
45,Camden Foods,Retail Hall,Grab & Go
46,Camden Foods,Gate B41,Grab & Go
47,Canal St. Noodle House,Gate A3,Restaurants
48,Caviar House & Prunier Seafood Bar (Temporarily Closed),Retail Hall,Restaurants
49,Central Diner,Arrivals Hall,Restaurants
50,Chocolates & More,Retail Hall,Grab & Go
51,Chocolates & More,Retail Hall,Grab & Go
52,Dunkin' Donuts,3,$2 Water
53,Dunkin' Donuts,Gate B33,Grab & Go
54,Dunkin' Donuts,3,$2 Water
55,Dunkin' Donuts,Gate B18,Grab & Go
56,Dunkin' Donuts,Arrivals Hall,Grab & Go
57,Dunkin' Donuts,Retail Hall,Grab & Go
58,Five Borough Food Hall,Retail Hall,Restaurants
59,Flatiron Coffee Roasters,Retail Hall-East,Grab & Go
60,Jamba Juice,Gate B27,Grab & Go
61,La Brea Bakery,3,$2 Water
62,La Brea Bakery,Gate B34,Grab & Go
63,Le Grand Comptoir,Retail Hall,Restaurants
64,McDonald's,Retail Hall,Grab & Go
65,Mi Casa Cantina and Restaurant,Gate B23,Restaurants
66,Peets Coffee & Tea,3,$2 Water
67,Peets Coffee & Tea,Gate A3,Grab & Go
68,Peets Coffee & Tea,Gate B26,Grab & Go
69,Pizza Vino,Gate B28,Restaurants
70,Shake Shack,3,$2 Water
71,Shake Shack,Gate B23,Grab & Go
72,Shake Shack,Gate B37,Grab & Go
73,So Chocolate,Retail Hall,Grab & Go
74,The Palm Bar & Grille,Retail Hall,Restaurants
75,Tigin's Irish Pub & Restaurant,Gate A7,Restaurants
76,Uptown Brasserie,Gate B32,Restaurants
77,Urban Crave,2,$2 Water
78,Urban Crave,Gate B46,Restaurants
79,5ive Steak,Marketplace,Restaurants
80,AeroNuova,Marketplace,Restaurants
81,Artichoke Pizza,Food Hall,Restaurants
82,Aunt Butchie's Bakery Café,Gates 14-15,Grab & Go
83,Caribbean Kitchen,Food Hall,Restaurants
84,Cibo Market,Central Concourse,Grab & Go
85,Cibo Market,East Concourse,Grab & Go
86,Cibo Market,Food Court,Grab & Go
87,Cibo Market,Pre Security,Grab & Go
88,Cibo Market,Pre Security,Grab & Go
89,Cibo Market,South Concourse,Grab & Go
90,CNBC News,Gate 8 Concourse Entrance,Grab & Go
91,CNBC News,Opposite Gate 24,Grab & Go
92,CNBC News (kiosk),Between Gates 6-7,Grab & Go
93,Custom Burger,Food Hall,Grab & Go
94,Custom Burger / Eggy Weggy,Food Hall,Restaurants
95,Deep Blue on the Fly,Marketplace,Grab & Go
96,Deep Blue Sushi,Marketplace,Restaurants
97,Dylan's Candy Bar,Gate 20,Grab & Go
98,H&H Bagel,Food Hall,Restaurants
99,Horizon Bakery Café,Gate 1,Grab & Go
100,iS Duty Free,Marketplace,Grab & Go
101,Jamba Juice,Marketplace,Grab & Go
102,La Vie,Gate 22 Concourse Entrance,Restaurants
103,Loft,Opposite Gate 26,Restaurants
104,Lucy's Asian Kitchen,Food Hall,Restaurants
105,Market Table & Feature Entrees Bar,Food Hall,Restaurants
106,New York Sports Grill,Gates 9-10,Restaurants
107,Piquillo (Temporarily Closed),Marketplace,Restaurants
108,Re:Vive Bars,Gate 18,Restaurants
109,Re:Vive Bars,Gate 6,Restaurants
110,Re:Vive Bars,Gates 14-15,Restaurants
111,Re:Vive Bars,Gates 24-25,Restaurants
112,Re:Vive Bars,Outside Food Hall,Restaurants
113,Revolucion,Gates 11-12,Restaurants
114,Starbucks,Gate 22,Grab & Go
115,WhereTraveler Books and More,Marketplace,Grab & Go
116,Apartment 7B,Food Court,Grab & Go
117,Apartment 7B,Near Gate 6,$2 Water
118,Brooklyn Rebel,Food Court,Restaurants
119,Dunkin' Donuts,Gate 10,Grab & Go
120,Dunkin' Donuts,Arrivals Area,Grab & Go
121,Hudson,(Gate 5/6),$2 Water
122,Hudson (Gates 7/8),Gates 7/8,$2 Water
123,Hudson,Arrivals,$2 Water
124,Irving Farm Coffee,Food Court,Grab & Go
125,Kobeyaki,Food Court,Restaurants
126,Le Grand Comptoir,Food Court,Restaurants
127,True Burger,Near Gate 6,Restaurants
128,Abitinos Pizza,Concourse C,$2 Water
129,Abitinos Pizza,Concourse C & Food Court,$2 Water
130,Abitinos Pizza,Food Court,Grab & Go
131,Abitinos Pizza,Gate 40,Grab & Go
132,Angelina’s Metro Market,Arrivals,Grab & Go
133,Dunkin' Donuts,"""Gate 42 (Inside Hudson)""",Grab & Go
134,Bobby Van's Steakhouse,Across from Gate 14,Restaurants
135,Cascata,Concourse C,$2 Water
136,Cascata,Gate 34,Restaurants
137,Cibo Market,Gate 7,Grab & Go
138,Cibo Market,Concourse B,$2 Water
139,Martini Bar,Gate 4,Restaurants
140,Dunkin' Donuts,Arrivals,Grab & Go
141,Hudson,Arrivals,$2 Water
142,Hudson,Concourse B,$2 Water
143,Hudson,Concourse B,$2 Water
144,Hudson,Concourse B,$2 Water
145,Hudson,Concourse C,$2 Water
146,Hudson,Concourse C,$2 Water
147,Hudson,Concourse C,$2 Water
148,Mezze Café,Food Court,Grab & Go
149,New York Deli,Concourse C,$2 Water
150,New York Sports Bar,Concourse B,Restaurants
151,O'Neal's Restaurant,Concourse B,Restaurants
152,O'Neals,Concourse B,$2 Water
153,SoHo Bistro,Concourse C,$2 Water
154,SoHo Bistro,Concourse C,Restaurants
155,Starbucks,Near Food Court,Grab & Go
